,timestamp,location,track,week,pacing,rating
57,6/24/2016 13:45:50,,Intro,,2,10
58,6/24/2016 13:47:01,,Intro,,3,10
59,6/24/2016 13:49:01,,Intro,,3,10
60,6/24/2016 13:49:44,,Intro,,3,10
61,6/24/2016 13:50:23,,Intro,,3,10
0,8/5/2016 11:22:50,,Intro,,2,6
1,8/5/2016 11:23:13,,Intro,,3,10
2,8/5/2016 11:24:20,,Games,,2,8
3,8/5/2016 11:29:26,,Intro,,3,8
4,8/5/2016 11:31:08,,Games,,3,8
5,8/5/2016 11:57:53,,Games,,3,10
6,8/5/2016 13:23:30,,Intro,,4,8
7,8/5/2016 13:58:27,,Games,,3,10
8,8/5/2016 14:00:14,,Games,,3,10
0,7/15/2016 2:45:00,,,,3,8
1,7/15/2016 2:45:11,,,,4,8
2,7/15/2016 2:48:37,,,,3,6
3,7/15/2016 2:53:18,,,,3,8
4,7/15/2016 2:56:09,,,,4,6
5,7/15/2016 4:37:33,,,,3,8
6,7/15/2016 19:59:23,,,,3,8
7,7/15/2016 20:46:14,,,,4,6
8,7/17/2016 19:06:22,,,,3,8
0,7/15/2016 15:26:38,,Apps,,3,10
1,7/15/2016 15:31:37,,Apps,,3,8
2,7/15/2016 15:32:59,,Apps,,4,8
3,7/15/2016 16:18:00,,Apps,,4,6
4,7/15/2016 16:19:09,,Apps,,4,8
5,7/15/2016 16:21:25,,Apps,,4,6
6,7/15/2016 17:34:39,,Apps,,3,8
7,7/15/2016 20:20:33,,Apps,,3,10
8,7/15/2016 20:39:49,,Apps,,3,8
9,7/16/2016 12:46:10,,Apps,,3,8
10,7/17/2016 16:27:57,,Apps,,2,10
11,7/15/2016 15:30:54,,Games,,3,8
12,7/15/2016 15:54:54,,Games,,3,8
13,7/15/2016 19:08:37,,Games,,4,10
14,7/16/2016 9:18:45,,Games,,5,10
15,7/17/2016 17:05:09,,Games,,3,10
16,7/14/2016 14:05:15,,Intro,,4,10
17,7/14/2016 14:06:20,,Intro,,4,6
18,7/14/2016 15:04:21,,Intro,,4,8
19,7/14/2016 15:47:33,,Intro,,5,6
20,7/15/2016 15:15:37,,Intro,,4,8
21,7/15/2016 16:03:37,,Intro,,3,8
22,7/15/2016 16:05:04,,Intro,,3,6
23,7/15/2016 16:20:07,,Intro,,3,8
24,7/16/2016 13:12:50,,Intro,,3,10
